model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
Kimi,kimi-k3,moonshot,opencode-go,G3,atomic-data/atomic_lost_update,Medium,0,accepted,True,True,True,False,3,1,2,0,4,4,10392,8808,19200,66260,
Kimi,kimi-k3,moonshot,opencode-go,G3,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,3423,1507,4930,11237,
Kimi,kimi-k3,moonshot,opencode-go,G3,atomic-data/counter_overflow_safety,Simple,0,generation_failed,False,False,False,False,,,,,,4,10356,9947,20303,206696,
Kimi,kimi-k3,moonshot,opencode-go,G3,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,True,True,False,3,1,2,0,4,4,8996,4636,13632,31742,
Kimi,kimi-k3,moonshot,opencode-go,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,5647,1933,7580,15874,
Kimi,kimi-k3,moonshot,opencode-go,G3,channel/send_while_holding_mutex,Simple,0,generation_failed,True,False,False,False,2,,1,,2,5,11040,9502,20542,72342,
Kimi,kimi-k3,moonshot,opencode-go,G3,condvar/bare_wait_no_predicate,Complex,0,accepted,True,True,True,False,3,2,2,1,5,5,11500,6904,18404,74609,
Kimi,kimi-k3,moonshot,opencode-go,G3,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,True,True,False,4,2,3,1,6,6,14622,8068,22690,58805,
Kimi,kimi-k3,moonshot,opencode-go,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,generation_failed,False,False,False,False,,,,,,4,7677,16384,24061,108356,
Kimi,kimi-k3,moonshot,opencode-go,G3,condvar/same_cv_different_locks,Complex,0,unsupported,False,False,False,False,,,,,,2,5294,5626,10920,39671,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/abba_2lock,Medium,0,accepted,True,True,True,False,1,2,0,1,3,3,5863,3671,9534,27686,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,False,False,False,False,,,,,,4,10839,8889,19728,61779,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/cycle_3lock,Complex,0,accepted,True,True,True,False,1,1,0,0,2,2,4034,3828,7862,23820,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/partial_deadlock_bystander,Complex,0,generation_failed,False,False,False,False,,,,,,4,9339,12066,21405,93788,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/two_independent_cycles,Complex,0,accepted,True,True,True,False,1,2,0,1,3,3,7063,3446,10509,20921,
Kimi,kimi-k3,moonshot,opencode-go,G3,semaphore/acquire_twice_no_release,Simple,0,generation_failed,True,False,False,False,1,,0,,1,4,8254,5463,13717,39793,
Kimi,kimi-k3,moonshot,opencode-go,G3,semaphore/permit_leak,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,3513,2227,5740,19097,
Kimi,kimi-k3,moonshot,opencode-go,G3,semaphore/throttle_n_permits,Medium,0,generation_failed,True,False,False,False,2,,1,,2,5,11492,9044,20536,67261,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/finite_call_loop,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,5426,2693,8119,22833,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/nested_scope_lock_order,Medium,0,accepted,True,True,True,False,1,2,0,1,3,3,5560,2431,7991,17453,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/scope_bound_k_workers,Complex,0,generation_failed,False,False,False,False,,,,,,4,10060,8592,18652,64785,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/scope_worker_abba,Medium,0,accepted,True,True,True,False,1,1,0,0,2,2,3643,2643,6286,16627,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/spawn_join_loop_finite,Simple,0,accepted,True,True,True,False,1,2,0,1,3,3,4566,3269,7835,48996,
Kimi,kimi-k3,moonshot,opencode-go,G3,structure/worker_with_payload,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,6820,4328,11148,51544,
